raining,42041
Crap.,264603
Sadly,194583
saver,1080684
PROUD,917509
Tonight!,569896
blisters,827268
Continental,120887
no....,681446
sucks..,891294
ready!!,336822
Burned,612285
much....,154074
hate,458608
Ehh,199780
poorly,57708
stinks,1186671
G5,838761
replacements,1023118
eligible,484925
snowing,991174
mmmmmmm,1038631
whatsoever,775723
gutting,1103149
Nasty,1282314
flicking,527547
magnetic,681441
playground,240939
sinking,1054467
Drowning,1245049
casa.,1191996
SICK,225158
Iranian,68307
spider.,54
activation,707503
hilarious,46422
traumatized,1015211
hardcore.,564606
sucks.,1070237
suckss,1070192
hangin',844052
whoop!,94631
GN,838808
stabbed,1139039
sucks!,1070243
Spurs,315713
lurve,870302
sign...,1239778
present!,73565
hurts!!,1288015
Evening!,1251842
okies,458658
Premier,564625
@Spoonsie,954444
humidity,744194
boohoo,959714
"stars,",970554
"aswell,",343861
Rockin',405677
Noisy,722289
anymore?!,849287
nemore,770517
@mariqueen,760077
me',516964
Ugh!,120967
undead,576979
"Ugh,",120969
..now,980691
Ugh.,728890
*smiles*,1305336
challenge!,850940
YESTERDAY,1158355
"terrible,",1315299
futon,1230716
fabulous,11117
liao,1218493
Bummer.,939097
stressed.,333661
"Bummer,",607008
phonee,68359
dailybooth,411528
freezin,511607
wreck,220880
beaten,628143
"gold,",368678
CAMERA,581169
Mrs.CJBaran&lt;3,760123
Sally,1186782
Ð¼ÐµÐ½Ñ?,283962
shocks,84072
injections,36947
housewarming,970274
congrats!!!,528275
iPlayer,625865
#FF,110570
itttt,1204347
error,805401
Ughh,121012
teehee.,1007235
LMFAO!!!,1038736
nicht,601771
revise!,359756
Addicted,68400
@kirash4,87363
playdate,796815
@7angela7,101688
WRONG,376834
kudos,405750
uplifting,676377
hideously,100029
worse.,226149
leaves,859798
everyone!!,1112526
#gr88,638886
cried!,601791
finger.,63142
"LINES,",718031
"finger,",63144
met!,1058848
listening!,363416
stressed,708441
lonesome,1101988
worse?,226162
twittersphere,426867
Stand,28012
Ugh..,985968
fantastic,938678
@mswilliamsmusic,196353
thanks!,301974
NO!!,686779
sorrows,289286
